天数（自2016年001天起算，北京时间）小时 分钟 秒 模板号
257 4 40 24 3
257 4 44 41 1
257 4 47 53 1
257 4 48 19 4
257 5 19 39 2
257 5 37 26 2
257 5 42 52 8
257 5 48 30 2
257 5 50 36 4
257 5 53 32 5
257 5 8 8 5
257 6 1 17 10
257 6 13 35 8
257 6 13 39 10
257 6 24 54 8
257 6 27 48 6
257 6 29 51 10
257 6 34 33 2
257 6 42 11 3
257 6 47 2 3
257 6 58 14 11
257 6 58 27 2
257 6 6 24 2
257 6 9 14 9
257 6 9 17 4
257 7 1 48 1
257 7 13 58 2
257 7 17 2 3
257 7 18 0 7
257 7 23 7 2
257 7 30 26 3
257 7 36 53 2
257 7 53 18 2
257 8 21 55.9 4
257 8 22 13.2 11
257 8 29 35.3 5
257 8 29 46.8 3
257 8 31 50.5 2
257 8 38 22.9 1
257 8 44 48.8 4
257 8 52 53.6 5
257 8 53 47.2 2
257 8 56 42.9 5
257 8 6 13.3 2
257 8 7 46 3
257 9 17 9.3 2
257 9 22 35.6 1
257 9 3 56.6 5
257 9 34 28.4 3
257 9 39 46.2 1
257 9 4 27.7 5
257 9 41 25.4 3
257 9 43 41.8 3
257 9 5 22.4 11
257 9 58 41.3 5
257 9 9 26 10
258 0 10 19.8 5
258 0 10 43.7 4
258 0 16 38.9 4
258 0 22 34.8 3
258 0 29 23.9 10
258 0 29 41 10
258 0 3 23.1 5
258 0 31 59.6 7
258 0 35 17.2 3
258 0 37 38.6 2
258 0 37 59.8 10
258 0 44 44 5
258 0 50 32.3 2
258 0 6 4.5 6
258 0 9 19.3 2
258 1 13 0.5 1
258 1 16 3.8 7
258 1 19 22.5 2
258 1 23 7.8 4
258 1 25 19 4
258 1 27 10.6 1
258 1 32 30.7 2
258 1 33 12.4 4
258 1 37 7 3
258 1 40 26.1 4
258 1 42 1.3 4
258 1 44 49.2 3
258 1 45 42.7 1
258 1 48 54.1 6
258 1 49 4.9 1
258 1 50 24 7
258 1 53 21.7 1
258 1 54 49.9 10
258 1 59 56.5 2
258 1 59 59.6 1
258 10 2 11 4
258 10 24 4.9 2
258 10 27 17.3 3
258 10 28 40.9 4
258 10 29 47.1 3
258 10 38 51.2 9
258 10 39 28.3 1
258 10 42 22.1 1
258 10 46 14.3 3
258 10 49 40.9 11
258 10 6 47.7 7
258 10 7 3.3 2
258 10 8 43.1 3
258 11 11 33.2 3
258 11 27 32.6 2
258 11 4 18.2 1
258 11 42 41 1
258 11 52 14.1 1
258 11 53 8.1 1
258 11 57 34.1 2
258 11 7 2.5 9
258 12 15 45.9 2
258 12 17 27 5
258 12 18 4.8 9
258 12 2 43.1 5
258 12 21 29.1 2
258 12 25 58.3 4
258 12 27 14.3 10
258 12 36 44.2 7
258 12 36 9.1 2
258 12 58 24.2 2
258 12 6 27.6 3
258 12 6 31 3
258 12 7 26.3 1
258 13 15 20.8 4
258 13 2 47.7 11
258 13 27 15.3 2
258 13 36 48.9 2
258 13 39 35.6 9
258 13 50 4 3
258 13 6 20.3 3
258 14 0 28 4
258 14 0 50 4
258 14 0 53.1 8
258 14 1 17.8 2
258 14 10 13 2
258 14 10 7.9 4
258 14 13 10.3 4
258 14 13 44.2 4
258 14 14 12.8 4
258 14 23 54.5 2
258 14 27 50.4 2
258 14 3 41.9 4
258 14 3 7.3 4
258 14 32 0.3 1
258 14 35 8.2 8
258 14 53 31.1 4
258 14 53 49.8 4
258 14 54 27.8 4
258 14 55 23.4 4
258 14 57 28.4 4
258 14 58 44 4
258 14 59 14.9 4
258 15 10 39.4 4
258 15 10 53.4 4
258 15 13 34.2 4
258 15 14 8.8 3
258 15 16 22.7 3
258 15 16 24.3 4
258 15 17 53.3 4
258 15 18 54.8 4
258 15 19 21.8 4
258 15 19 27.3 4
258 15 19 47.1 4
258 15 19 52.5 4
258 15 2 26.5 2
258 15 20 13.4 4
258 15 20 31.1 2
258 15 20 42.4 4
258 15 22 35.5 4
258 15 23 18.5 4
258 15 23 29.8 4
258 15 28 30.1 4
258 15 29 50.2 4
258 15 30 28.8 4
258 15 36 39.1 4
258 15 38 18.6 4
258 15 38 21.9 4
